4.768371582031250000e-07,4.669999999999999929e+00,-6.870000000000000551e-01,8.789062500000000000e+00
4.843354225158691406e-02,8.080000000000000071e+00,-2.060999999999999943e+00,8.085937500000000000e+00
9.643673896789550781e-02,-2.082999999999999829e+01,1.832000000000000073e+00,8.437500000000000000e+00
1.442995071411132812e-01,-2.039000000000000057e+01,5.267000000000000348e+00,9.931640625000000000e+00
1.922876834869384766e-01,-8.660000000000000142e+00,6.870000000000000107e+00,1.186523437500000000e+01
2.402830123901367188e-01,-3.580000000000000071e+00,6.870000000000000107e+00,1.388671875000000000e+01
2.883279323577880859e-01,-3.979999999999999982e+00,6.411999999999999922e+00,1.582031250000000000e+01
3.362786769866943359e-01,-3.310000000000000053e+00,5.725000000000000533e+00,1.757812500000000000e+01
3.842847347259521484e-01,-4.200000000000000178e+00,5.496000000000000441e+00,1.916015625000000000e+01
4.323244094848632812e-01,-6.740000000000000213e+00,5.038000000000000256e+00,2.065429687500000000e+01
4.802789688110351562e-01,-4.129999999999999893e+00,4.350999999999999979e+00,2.206054687500000000e+01
5.283107757568359375e-01,-3.060000000000000053e+00,4.121999999999999886e+00,2.320312500000000000e+01
5.762603282928466797e-01,-2.149999999999999911e+00,3.664000000000000146e+00,2.434570312500000000e+01
6.242623329162597656e-01,-3.020000000000000018e+00,3.205999999999999961e+00,2.531250000000000000e+01
6.722753047943115234e-01,9.200000000000000400e-01,1.832000000000000073e+00,2.592773437500000000e+01
7.202448844909667969e-01,4.400000000000000022e-01,1.145000000000000018e+00,2.627929687500000000e+01
7.682425975799560547e-01,-1.669999999999999929e+00,6.870000000000000551e-01,2.645507812500000000e+01
8.162441253662109375e-01,6.700000000000000400e-01,2.290000000000000091e-01,2.654296875000000000e+01
8.642556667327880859e-01,1.030000000000000027e+00,0.000000000000000000e+00,2.663085937500000000e+01
9.122333526611328125e-01,5.379999999999999893e+00,-4.580000000000000182e-01,2.645507812500000000e+01
9.602227210998535156e-01,3.520000000000000018e+00,-1.602999999999999980e+00,2.601562500000000000e+01
1.008330583572387695e+00,6.410000000000000142e+00,-2.060999999999999943e+00,2.548828125000000000e+01
1.056378602981567383e+00,9.779999999999999361e+00,-2.977000000000000313e+00,2.460937500000000000e+01
1.104285717010498047e+00,8.810000000000000497e+00,-3.664000000000000146e+00,2.355468750000000000e+01
1.152226209640502930e+00,7.580000000000000071e+00,-3.893000000000000238e+00,2.232421875000000000e+01
1.200229167938232422e+00,1.226999999999999957e+01,-4.350999999999999979e+00,2.109375000000000000e+01
1.248209476470947266e+00,1.443999999999999950e+01,-5.267000000000000348e+00,1.951171875000000000e+01
1.296224355697631836e+00,1.080000000000000071e+01,-5.496000000000000441e+00,1.792968750000000000e+01
1.344245433807373047e+00,1.419999999999999929e+01,-5.954000000000000625e+00,1.617187500000000000e+01
1.392238140106201172e+00,1.509999999999999964e+01,-6.182999999999999829e+00,1.432617187500000000e+01
1.440239191055297852e+00,1.344999999999999929e+01,-6.411999999999999922e+00,1.248046875000000000e+01
1.488223552703857422e+00,1.478999999999999915e+01,-6.641000000000000014e+00,1.054687500000000000e+01
1.536217212677001953e+00,1.612000000000000099e+01,-7.099000000000000199e+00,8.525390625000000000e+00
1.584241628646850586e+00,1.158999999999999986e+01,-7.099000000000000199e+00,6.503906250000000000e+00
1.632179498672485352e+00,1.374000000000000021e+01,-7.099000000000000199e+00,4.394531250000000000e+00
1.680207729339599609e+00,1.024000000000000021e+01,-6.870000000000000107e+00,2.460937500000000000e+00
1.728196620941162109e+00,8.009999999999999787e+00,-6.870000000000000107e+00,4.394531250000000000e-01
1.776196241378784180e+00,1.244999999999999929e+01,-6.182999999999999829e+00,-1.406250000000000000e+00
1.824172973632812500e+00,1.600000000000000000e+01,-5.725000000000000533e+00,-3.164062500000000000e+00
1.872180223464965820e+00,1.533000000000000007e+01,-5.725000000000000533e+00,-4.833984375000000000e+00
